Value,quí trọng,
grateful,biết hơn,
understand,hiểu
street,đường,,
stretch,kéo ra,,
strong,mạnh,,
structure,kết cấu,,
substance,thực chất,,
such,như thế,,
sudden,thình lình,,
sugar,đường,,
suggestion,đề nghị,,
summer,mùa hè,,
sun,mặt trời,,
support,ủng hộ,,
surprise,ngạc nhiên,,
sweet,ngọt,,
swim,bơi,,
system,hệ thống,,
table,bàn,,
tail,đuôi,,
take,lấy,,
talk,nói,,
tall,cao,,
taste,vị,,
tax,thuế,,
teaching,sự dạy dộ,,
tendency,khuynh hướng,,
test,thử (try),thử thách (test of faith),
than,hơn,,
that,đó,,
the,cái,,
then,lúc đó (time),rồi (and then),
theory,thuyết,,
there,ở đó,,
thick,dày,,
thin,mỏng,,
thing,điều,,
this,cái này,,
though,mặc dù,,
thought,ý tưởng,,
thread,sợi dây,,
throat,cổ,,
through,qua,,
thumb,ngón tay cái,,
thunder,sấm,,
ticket,vé,,
tight,chặt,,
till,ngăn kéo để tiền,,
time,thời gian,,
tin,thiếc,,
tired,mệt mỏi,,
to,để,,
toe,ngón chân,,
together,cùng nhau,,
tomorrow,ngày may,,
tongue,lưỡi,,
tooth,răng,,
top,ở trên,,
touch,động đến,,
town,thành phố,,
trade,nghề,,
train,xe lửa,,
transport,chuyên chở,,
tray,khay,,
tree,cây,,
trick,mắc mưu,,
trouble,làm phiền,,
trousers,quần tây,,
true ,sự thật,,
turn,quay,,
twist,xoắn,,
umbrella,cây dù,,
under,dưới,,
unit,đơn vị,,
up,lên,,
use,dùng,,
value,giá trị,,
verse,câu,,
very,rất,,
vessel,bình,,
view,nhìn thấy,,
violent,hung bạo,,
voice,tiếng nói,,
waiting,chờ đợi,,
walk,đi bộ,,
wall,bức tường,,
war,chiến tranh,,
warm,ấm,,
wash,giặt,,
waste,uổng,,
watch,xem,,
water,nước,,
wave,làn sóng,,
wax,sáp ong,,
weather,thời tiết,,
week,tuần,,
weight,sức nặng,,
well,tốt,,
west,tây,,
wet,ướt,,
wheel,bánh xe,,
when,khi nào,,
where,ở đâu,,
while,lúc,,
whip,roi,,
whistle,huýt gió,,
white,màu trắng,,
who,ai,,
why,tại sao,,
wide,rộng,,
will,ý định,,
wind,gió,,
window,cửa sộ,,
wine,rượu nho,,
wing,cánh tay,,
winter,mùa đông,,
wire,dây,,
wise,khôn ngoan,,
with,với,,
woman,"phụ nữ, đàn bà",,
wood,gỗ,,
wool,len,,
word,lời,,
work,công việc,,
worm,con trùng,,
wound,vết thương,,
writing,viết,,
wrong,sai,,
year,năm,,
yellow,màu vàng,,
yes,"dạ, vâng, phải",,
yesterday,hôm qua,,
you,"anh, chị, em, ông, bà, etc",,
young,trẻ,,
